Country,Year,Exchange Rate,Inflation (%)
Brazil,1981,4.03001093531326e-11,101.725072957927
Brazil,1982,7.76854427171099e-11,100.54335919485
Brazil,1983,2.49718172221135e-10,135.027682230473
Brazil,1984,7.99741323974138e-10,192.121733132051
Brazil,1985,2.68324234084592e-09,225.989665211895
Brazil,1986,5.90968226749251e-09,147.142826237604
Brazil,1987,1.6976307824584e-08,228.336162575513
Brazil,1988,1.1354767374037e-07,629.114509120897
Brazil,1989,1.22638743473744e-06,1430.7237251472
Brazil,1990,2.95572678942699e-05,2947.732772483
Brazil,1991,0.000175961443086024,432.786661926461
Brazil,1992,0.00195302352248811,951.962053052818
Brazil,1993,0.038276610926673,1927.38079016026
Brazil,1994,0.664683514070577,2075.88839757325
Brazil,1995,0.917666666666667,66.0070335542481
Brazil,1996,1.0051,15.7576656002606
Brazil,1997,1.07799166666667,6.92671251629154
Brazil,1998,1.16051666666667,3.19507629280052
Brazil,1999,1.81393284657213,4.85844749902667
Brazil,2000,1.82942312207561,7.04414105947266
Brazil,2001,2.34963170932244,6.84035902487523
Brazil,2002,2.92036301775519,8.45016437708331
Brazil,2003,3.07747511847802,14.7149197228147
Brazil,2004,2.92511944951586,6.59718509985963
Brazil,2005,2.43439003623188,6.86953720898964
Brazil,2006,2.17532666666667,4.18356812896909
Brazil,2007,1.94705833333333,3.64127299102652
Brazil,2008,1.83376666666667,5.67859390284168
Brazil,2009,1.99942817314426,4.88803479876799
Brazil,2010,1.75922671058718,5.03872690108075
Brazil,2011,1.67282875525659,6.6364496221309
Brazil,2012,1.95306861112487,5.40349914036997
Brazil,2013,2.15608915126311,6.20431066640101
Brazil,2014,2.35295196276669,6.32904015516139
Brazil,2015,3.32690438276879,9.02990102416136
Brazil,2016,3.49131342157271,8.73914352329393
Brazil,2017,3.19138944630048,3.44637335032669
Brazil,2018,3.65382536145755,3.66485028376729
Brazil,2019,3.9444710972507,3.73297621216894
Brazil,2020,5.15517878751281,3.21176803803376
Brazil,2021,5.39440078962503,8.30165975585673
Brazil,2022,5.16397029102111,9.28010608956873
Brazil,2023,4.99437976287199,4.59356282283204
Brazil,2024,5.3889349057096,4.36746407652337
Ethiopia,1966,2.5000000015,-1.36186770466907
Ethiopia,1967,2.5000000015,0.808678501054678
Ethiopia,1968,2.5000000015,0.182612665558996
Ethiopia,1969,2.5000000015,1.42568843148626
Ethiopia,1970,2.5000000015,10.1219512195636
Ethiopia,1971,2.49347500129167,0.536224281695193
Ethiopia,1972,2.299999999,-6.08151197179128
Ethiopia,1973,2.098749999,8.91358024695813
Ethiopia,1974,2.069999999,8.59215597391085
Ethiopia,1975,2.069999999,6.55010438394199
Ethiopia,1976,2.069999999,28.5378398237849
Ethiopia,1977,2.069999999,16.6571395908503
Ethiopia,1978,2.069999999,14.3081144649155
Ethiopia,1979,2.069999999,16.0322359396519
Ethiopia,1980,2.069999999,4.48253780600435
Ethiopia,1981,2.069999999,6.13596718680434
Ethiopia,1982,2.069999999,5.89006107723961
Ethiopia,1983,2.069999999,-0.675378064854718
Ethiopia,1984,2.06999999958333,8.41727378312053
Ethiopia,1985,2.07,19.0646851444406
Ethiopia,1986,2.07,-9.80876507050661
Ethiopia,1987,2.07,-2.42867248283368
Ethiopia,1988,2.07,7.08071532141089
Ethiopia,1989,2.07,7.81730118223048
Ethiopia,1990,2.07,5.15248124174767
Ethiopia,1991,2.07,35.7225982298715
Ethiopia,1992,2.8025,10.5274440119592
