,Year,Inflation
59,1966,-1.36186770466907
58,1967,0.808678501054678
57,1968,0.182612665558996
56,1969,1.42568843148626
55,1970,10.1219512195636
54,1971,0.536224281695193
53,1972,-6.08151197179128
52,1973,8.91358024695813
51,1974,8.59215597391085
50,1975,6.55010438394199
49,1976,28.5378398237849
48,1977,16.6571395908503
47,1978,14.3081144649155
46,1979,16.0322359396519
45,1980,4.48253780600435
44,1981,6.13596718680434
43,1982,5.89006107723961
42,1983,-0.675378064854718
41,1984,8.41727378312053
40,1985,19.0646851444406
39,1986,-9.80876507050661
38,1987,-2.42867248283368
37,1988,7.08071532141089
36,1989,7.81730118223048
35,1990,5.15248124174767
34,1991,35.7225982298715
33,1992,10.5274440119592
32,1993,3.54306596166032
31,1994,7.59387600185337
30,1995,10.0221733553239
29,1996,-8.48424868948825
28,1997,2.39520958083829
27,1998,0.894801693964107
26,1999,7.94144864137325
25,2000,0.662458109266482
24,2001,-8.23784453391137
23,2002,0.675089102170801
22,2003,13.6740452028272
21,2004,3.32737047894847
20,2005,9.96997123512892
19,2006,12.2994763114825
18,2007,17.2404008340898
17,2008,44.3566858766952
16,2009,8.48364404530282
15,2010,8.14926402965082
14,2011,33.2499598823344
13,2012,23.600417677317
12,2013,7.46402192944517
11,2014,6.89001951597192
10,2015,9.56889955968623
9,2016,6.62813337230924
8,2017,10.6871150284238
7,2018,13.8330356586661
6,2019,15.8096321719344
5,2020,20.3563468559061
4,2021,26.8395221557722
3,2022,33.8898797100898
2,2023,30.2188278135278
1,2024,21.0377460577711
